# density profiles from  M. Dziewonski and D. L. Anderson, Preliminary reference earth model, Phys. Earth Planet. Interiors 25 (1981) 297–356.
r_vec	rho_tot	16O	28Si	27Al	56Fe	40Ca	23Na	39K	24Mg	48Ti	58Ni	59Co	31P	32S  v_esc
2321.608040201005	6.825395353041073e+24	0.0	0.0	0.0	5.767459073319707e+24	0.0	0.0	0.0	0.0	0.0	3.822221397703001e+23	2.047618605912322e+22	4.095237211824644e+22	6.142855817736965e+23  14.996069747404688
2356.78391959799	6.804260533921152e+24	0.0	0.0	0.0	5.749600151163373e+24	0.0	0.0	0.0	0.0	0.0	3.8103858989958456e+23	2.0412781601763455e+22	4.082556320352691e+22	6.123834480529037e+23  14.975952535574391
2391.959798994975	6.782283428126965e+24	0.0	0.0	0.0	5.731029496767285e+24	0.0	0.0	0.0	0.0	0.0	3.798078719751101e+23	2.0346850284380896e+22	4.069370056876179e+22	6.104055085314268e+23  14.955614837344076
2427.13567839196	6.759435977867209e+24	0.0	0.0	0.0	5.711723401297791e+24	0.0	0.0	0.0	0.0	0.0	3.7852841476056376e+23	2.0278307933601627e+22	4.0556615867203255e+22	6.083492380080488e+23  14.93506138845093
2462.311557788945	6.736588527607455e+24	0.0	0.0	0.0	5.6924173058283e+24	0.0	0.0	0.0	0.0	0.0	3.772489575460175e+23	2.0209765582822368e+22	4.0419531165644735e+22	6.06292967484671e+23  14.914155548825832
2497.4874371859296	6.713741077347701e+24	0.0	0.0	0.0	5.673111210358806e+24	0.0	0.0	0.0	0.0	0.0	3.7596950033147126e+23	2.0141223232043104e+22	4.028244646408621e+22	6.0423669696129305e+23  14.892969764142707
2532.6633165829144	6.690893627087946e+24	0.0	0.0	0.0	5.653805114889314e+24	0.0	0.0	0.0	0.0	0.0	3.7469004311692494e+23	2.007268088126384e+22	4.014536176252768e+22	6.021804264379151e+23  14.871510780634695
2567.8391959798996	6.66804617682819e+24	0.0	0.0	0.0	5.63449901941982e+24	0.0	0.0	0.0	0.0	0.0	3.734105859023786e+23	2.000413853048457e+22	4.000827706096914e+22	6.0012415591453706e+23  14.849714538549183
2603.0150753768844	6.645198726568435e+24	0.0	0.0	0.0	5.615192923950328e+24	0.0	0.0	0.0	0.0	0.0	3.721311286878324e+23	1.9935596179705303e+22	3.987119235941061e+22	5.980678853911591e+23  14.827734493889794
2638.190954773869	6.62235127630868e+24	0.0	0.0	0.0	5.595886828480834e+24	0.0	0.0	0.0	0.0	0.0	3.708516714732861e+23	1.986705382892604e+22	3.973410765785208e+22	5.960116148677812e+23  14.805435347040524
2673.3668341708544	6.599503826048925e+24	0.0	0.0	0.0	5.576580733011342e+24	0.0	0.0	0.0	0.0	0.0	3.695722142587398e+23	1.9798511478146775e+22	3.959702295629355e+22	5.939553443444033e+23  14.782693547982944
2708.542713567839	6.57377162800035e+24	0.0	0.0	0.0	5.554837025660296e+24	0.0	0.0	0.0	0.0	0.0	3.681312111680196e+23	1.9721314884001053e+22	3.944262976800211e+22	5.916394465200315e+23  14.759913012457664
2743.718592964824	6.547999254035455e+24	0.0	0.0	0.0	5.533059369659959e+24	0.0	0.0	0.0	0.0	0.0	3.666879582259855e+23	1.9643997762106365e+22	3.928799552421273e+22	5.8931993286319094e+23  14.736752663209622
2778.894472361809	6.522226880070558e+24	0.0	0.0	0.0	5.511281713659621e+24	0.0	0.0	0.0	0.0	0.0	3.652447052839513e+23	1.9566680640211676e+22	3.913336128042335e+22	5.870004192063502e+23  14.713350192881906
2814.070351758794	6.496454506105663e+24	0.0	0.0	0.0	5.489504057659286e+24	0.0	0.0	0.0	0.0	0.0	3.638014523419171e+23	1.948936351831699e+22	3.897872703663398e+22	5.8468090554950965e+23  14.68954881456656
2849.246231155779	6.470682132140767e+24	0.0	0.0	0.0	5.467726401658948e+24	0.0	0.0	0.0	0.0	0.0	3.6235819939988296e+23	1.9412046396422302e+22	3.8824092792844605e+22	5.82361391892669e+23  14.665506742389903
2884.422110552764	6.444909758175871e+24	0.0	0.0	0.0	5.445948745658611e+24	0.0	0.0	0.0	0.0	0.0	3.609149464578488e+23	1.9334729274527614e+22	3.866945854905523e+22	5.8004187823582836e+23  14.641051133805357
2919.597989949749	6.419137384210975e+24	0.0	0.0	0.0	5.424171089658274e+24	0.0	0.0	0.0	0.0	0.0	3.5947169351581455e+23	1.9257412152632925e+22	3.851482430526585e+22	5.777223645789877e+23  14.616613523391841
2954.7738693467336	6.393365010246078e+24	0.0	0.0	0.0	5.402393433657936e+24	0.0	0.0	0.0	0.0	0.0	3.580284405737804e+23	1.9180095030738236e+22	3.836019006147647e+22	5.754028509221471e+23  14.591850753289263
2989.949748743719	6.367592636281182e+24	0.0	0.0	0.0	5.380615777657599e+24	0.0	0.0	0.0	0.0	0.0	3.565851876317462e+23	1.9102777908843547e+22	3.8205555817687095e+22	5.730833372653064e+23  14.566709135481673
3025.1256281407036	6.340004369954746e+24	0.0	0.0	0.0	5.357303692611761e+24	0.0	0.0	0.0	0.0	0.0	3.550402447174658e+23	1.902001310986424e+22	3.804002621972848e+22	5.7060039329592715e+23  14.541233779299978
3060.3015075376884	6.310995432640963e+24	0.0	0.0	0.0	5.332791140581613e+24	0.0	0.0	0.0	0.0	0.0	3.5341574422789394e+23	1.8932986297922888e+22	3.7865972595845776e+22	5.679895889376866e+23  14.515484514450366
3095.4773869346736	6.281986495327179e+24	0.0	0.0	0.0	5.308278588551466e+24	0.0	0.0	0.0	0.0	0.0	3.5179124373832206e+23	1.8845959485981538e+22	3.7691918971963076e+22	5.653787845794461e+23  14.489610052314644
3130.6532663316584	6.252977558013396e+24	0.0	0.0	0.0	5.28376603652132e+24	0.0	0.0	0.0	0.0	0.0	3.501667432487502e+23	1.875893267404019e+22	3.751786534808038e+22	5.6276798022120565e+23  14.463387926593914
3165.829145728643	6.223968620699614e+24	0.0	0.0	0.0	5.259253484491173e+24	0.0	0.0	0.0	0.0	0.0	3.485422427591784e+23	1.8671905862098843e+22	3.7343811724197686e+22	5.601571758629652e+23  14.436810086472786
3201.005025125628	6.19495968338583e+24	0.0	0.0	0.0	5.234740932461027e+24	0.0	0.0	0.0	0.0	0.0	3.469177422696065e+23	1.858487905015749e+22	3.716975810031498e+22	5.575463715047247e+23  14.410028186284608
3236.180904522613	6.165950746072047e+24	0.0	0.0	0.0	5.210228380430879e+24	0.0	0.0	0.0	0.0	0.0	3.452932417800346e+23	1.849785223821614e+22	3.699570447643228e+22	5.5493556714648415e+23  14.38293242165456
3271.356783919598	6.136941808758264e+24	0.0	0.0	0.0	5.185715828400733e+24	0.0	0.0	0.0	0.0	0.0	3.436687412904628e+23	1.8410825426274791e+22	3.6821650852549583e+22	5.5232476278824376e+23  14.355585510645524
3306.532663316583	6.105490321963297e+24	0.0	0.0	0.0	5.159139322058986e+24	0.0	0.0	0.0	0.0	0.0	3.419074580299447e+23	1.8316470965889894e+22	3.6632941931779787e+22	5.494941289766967e+23  14.327980117963968
3341.708542713568	6.073203624395486e+24	0.0	0.0	0.0	5.131857062614186e+24	0.0	0.0	0.0	0.0	0.0	3.4009940296614726e+23	1.821961087318646e+22	3.643922174637292e+22	5.4658832619559375e+23  14.300089422306185
3376.884422110553	6.040916926827677e+24	0.0	0.0	0.0	5.104574803169387e+24	0.0	0.0	0.0	0.0	0.0	3.382913479023499e+23	1.812275078048303e+22	3.624550156096606e+22	5.4368252341449086e+23  14.271967401854464
3412.0603015075376	6.008630229259867e+24	0.0	0.0	0.0	5.077292543724588e+24	0.0	0.0	0.0	0.0	0.0	3.3648329283855253e+23	1.80258906877796e+22	3.60517813755592e+22	5.40776720633388e+23  14.243500040192247
3447.236180904523	5.976343531692056e+24	0.0	0.0	0.0	5.050010284279787e+24	0.0	0.0	0.0	0.0	0.0	3.346752377747551e+23	1.7929030595076168e+22	3.5858061190152336e+22	5.37870917852285e+23  14.214858401879376
3482.4120603015076	3.382080018883026e+24	1.4982614483651805e+24	7.203830440220845e+23	7.77878404343096e+22	2.1307104118963063e+23	8.455200047207566e+22	0.0	0.0	7.542038442109149e+23	0.0	6.764160037766052e+21	0.0	0.0	0.0  14.185909289918802
3517.5879396984924	3.348602881154886e+24	1.4834310763516144e+24	7.132524136859907e+23	7.701786626656238e+22	2.1096198151275782e+23	8.371507202887215e+22	0.0	0.0	7.467384424975396e+23	0.0	6.697205762309772e+21	0.0	0.0	0.0  14.157036208748176
3552.7638190954776	3.336863087737342e+24	1.4782303478676425e+24	7.107518376880538e+23	7.674785101795887e+22	2.1022237452745252e+23	8.342157719343355e+22	0.0	0.0	7.441204685654272e+23	0.0	6.673726175474683e+21	0.0	0.0	0.0  14.12819742982803
3587.9396984924624	3.325123294319798e+24	1.4730296193836706e+24	7.08251261690117e+23	7.647783576935536e+22	2.094827675421473e+23	8.312808235799496e+22	0.0	0.0	7.41502494633315e+23	0.0	6.650246588639596e+21	0.0	0.0	0.0  14.099382289556376
3623.115577889447	3.313383500902254e+24	1.4678288908996985e+24	7.057506856921801e+23	7.620782052075185e+22	2.0874316055684202e+23	8.283458752255635e+22	0.0	0.0	7.388845207012026e+23	0.0	6.626767001804508e+21	0.0	0.0	0.0  14.070631813624944
3658.291457286432	3.3016437074847106e+24	1.4626281624157269e+24	7.032501096942433e+23	7.593780527214834e+22	2.080035535715368e+23	8.254109268711776e+22	0.0	0.0	7.362665467690905e+23	0.0	6.603287414969422e+21	0.0	0.0	0.0  14.042002963245576
3693.467336683417	3.2908438305578045e+24	1.4578438169371074e+24	7.009497359088124e+23	7.56894081028295e+22	2.073231613251417e+23	8.227109576394512e+22	0.0	0.0	7.338581742143905e+23	0.0	6.581687661115609e+21	0.0	0.0	0.0  14.013453824612322
3728.643216080402	3.2810583866774613e+24	1.4535088652981153e+24	6.988654363622992e+23	7.5464342893581606e+22	2.0670667836068008e+23	8.202645966693654e+22	0.0	0.0	7.316760202290739e+23	0.0	6.562116773354923e+21	0.0	0.0	0.0  13.984936955268449
3763.819095477387	3.2712729427971186e+24	1.4491739136591237e+24	6.967811368157862e+23	7.523927768433372e+22	2.0609019539621847e+23	8.178182356992797e+22	0.0	0.0	7.294938662437575e+23	0.0	6.542545885594238e+21	0.0	0.0	0.0  13.956310909147037
3798.994974874372	3.2614874989167754e+24	1.4448389620201316e+24	6.946968372692732e+23	7.501421247508583e+22	2.0547371243175686e+23	8.15371874729194e+22	0.0	0.0	7.273117122584409e+23	0.0	6.522974997833551e+21	0.0	0.0	0.0  13.927810370701819
3834.170854271357	3.251702055036433e+24	1.4405040103811397e+24	6.926125377227602e+23	7.478914726583795e+22	2.0485722946729528e+23	8.129255137591082e+22	0.0	0.0	7.251295582731245e+23	0.0	6.503404110072866e+21	0.0	0.0	0.0  13.899382830323683
3869.3467336683416	3.2419166111560896e+24	1.4361690587421478e+24	6.90528238176247e+23	7.456408205659006e+22	2.0424074650283364e+23	8.104791527890225e+22	0.0	0.0	7.22947404287808e+23	0.0	6.48383322231218e+21	0.0	0.0	0.0  13.870967704775188
3904.522613065327	3.232131167275747e+24	1.431834107103156e+24	6.88443938629734e+23	7.433901684734218e+22	2.0362426353837206e+23	8.080327918189368e+22	0.0	0.0	7.207652503024916e+23	0.0	6.464262334551494e+21	0.0	0.0	0.0  13.842502383047117
3939.6984924623116	3.222345723395404e+24	1.4274991554641638e+24	6.86359639083221e+23	7.4113951638094285e+22	2.0300778057391045e+23	8.05586430848851e+22	0.0	0.0	7.185830963171751e+23	0.0	6.444691446790808e+21	0.0	0.0	0.0  13.813990108012522
3974.8743718592964	3.212285699134831e+24	1.42304256471673e+24	6.84216853915719e+23	7.388257108010111e+22	2.0237399904549435e+23	8.030714247837077e+22	0.0	0.0	7.163397109070673e+23	0.0	6.424571398269661e+21	0.0	0.0	0.0  13.785600322428671
