# Solar density profiles from model AGSS09ph [arXiv.0909.2668]
r_vec     rho_tot     1H     4He     3He     12C     13C     14N     15N     16O     17O     18O     20Ne     23Na     24Mg     27Al     28Si     P     32S     Cl     40Ar     K     40Ca     Sc     Ti     V     Cr     Mn     56Fe     Co     58Ni     v_esc     
0.20149999999999998  34.790000000000006  26.4999022239162  7.864009815628433  0.07782746484551065  0.12766035657901062  0.0  0.014556319462029708  0.00010388920125877507  0.2227900876508605  0.00010978392342039416  0.0006300981903728081  0.049222833531022525  0.0011371657527140015  0.02755582878309887  0.0021630017513879856  0.025859358182761603  0.0002265993681998473  0.012040643118365687  0.0003188033998711835  0.0025945356625305263  0.00011932276807726533  0.002493510295515372  1.8062487579409997e-06  0.00012100936410549415  1.2354734315076965e-05  0.0006444561860373627  0.000421449603014923  0.04990874957755423  0.00016356852041126644  0.0027741100217417375  1180.5275767242533  
0.20900000000000002  32.28999999999999  24.545645853136044  7.331332756299952  0.09194918243804422  0.10447000305365894  0.0  0.020317765079250184  9.664112580883924e-05  0.20570773462605446  0.00010256831069359508  0.0005881735204909658  0.04555788115414715  0.0010534105395609713  0.025474754147394876  0.0020088443407709914  0.023954670405462928  0.0002099159620543506  0.011154530464423254  0.0002958336670839405  0.0024086467827620114  0.00011053955589511115  0.0023150104150746944  1.673204002714168e-06  0.00011259604908195357  1.1446023182455953e-05  0.0005969574074154894  0.0003904693040895852  0.04673604181353174  0.00015202473834559542  0.0025700131137809  1170.9934293633485  
0.2165  29.93  22.693826553664636  6.825704020761221  0.1087687707466711  0.08975219532324691  0.0  0.021242084802999786  8.934342705465468e-05  0.19120602236044254  9.430542562953972e-05  0.0005387041914094529  0.04263143950948408  0.000974759722858971  0.023673713290988663  0.0018539199603961872  0.022217473680000745  0.00019424203165815823  0.010322324878507741  0.0002737600349415769  0.0022239164700562962  0.00010229319688285077  0.002142342263730888  1.5533631117543963e-06  0.00010419526376103859  1.0592303929444071e-05  0.0005574291977200275  0.00036134658251096033  0.04325586984660549  0.0001406860456105282  0.0023781915321063937  1161.4376594833009  
0.224  27.73  20.95989208412153  6.359173548609973  0.12889513539661726  0.07812392291837708  0.0  0.020557945482349307  8.250509005547307e-05  0.17612267759838698  8.757026025580573e-05  0.0005023599179001052  0.038891900053093995  0.0009010558908559528  0.021835652728687736  0.0017187158333480433  0.020539067090138797  0.00018005656633483154  0.009542140846250291  0.00025356817651189394  0.0020607294749189005  9.456021133017572e-05  0.0019804137813746892  1.4360851580962332e-06  9.632193676802941e-05  9.791698314183381e-06  0.0005103685838417112  0.0003340501171871048  0.03999524750548288  0.00013005427324618075  0.00219842047511816  1151.8725142742746  
0.2315  25.65  19.33134082386805  5.899450359303922  0.1535043854036883  0.07025865377680104  0.0  0.01935028042994524  7.661911495633425e-05  0.16302553390094537  8.079880748581459e-05  0.0004635933360611277  0.03638503332018099  0.0008371084989536079  0.020215728334543843  0.0015873630044198688  0.01896936414498931  0.0001663026260005457  0.008862473466089803  0.00023420365904225867  0.0019032751851931302  8.783015160622882e-05  0.001829048670460355  1.3263864576851019e-06  8.945604683768359e-05  9.042895551437133e-06  0.0004762640495065762  0.00030852598461255867  0.036438702724061384  0.000120611314210553  0.0020352765845567744  1142.315332298765  
0.23899999999999996  23.710000000000008  17.817123394196066  5.475462148803561  0.18355863659795085  0.06316927675993371  0.0  0.017957478219524328  7.014760340668958e-05  0.15029702509105108  7.496665405302482e-05  0.00042736186097851316  0.033062298586167785  0.0007675736208303352  0.018652578562712647  0.0014694758676519154  0.017501768045298776  0.0001534419002977033  0.00812906822479357  0.00021609111797938038  0.0017609664158788102  8.05563549605596e-05  0.0016924217164345163  1.2237877178272503e-06  8.206135473816709e-05  8.34296202177848e-06  0.00043459085487843274  0.00028464524825997446  0.03409267373192995  0.00011080330815471595  0.0018779040550144488  1132.7768546619757  
0.2465  21.9  16.40130360315128  5.058835114849237  0.21859797511628304  0.057890865234377836  0.0  0.01667423173730275  6.508622695596403e-05  0.1384670033024359  6.858606701659752e-05  0.00039364888876952935  0.03093820865267023  0.0007124372363329744  0.01719767011373101  0.0013502164425901197  0.016184386280410867  0.00014147465177830664  0.007494361325794454  0.00019924030994529114  0.001618911553793546  7.475233366067562e-05  0.001560529444653494  1.1283289174975408e-06  7.613854594108815e-05  7.740070306836054e-06  0.0004053964255243958  0.00026243361376595994  0.03143615658576094  0.00010263799498744363  0.0017363172893814969  1123.271866334175  
0.25400000000000006  20.20999999999999  15.08454200276423  4.667516733031904  0.25051151624656237  0.052430596784668784  5.0267975395400406e-05  0.015337988207130969  5.989096272025333e-05  0.12788744520638348  6.357103788700632e-05  0.00036215661071642435  0.027997768046156484  0.0006562024808382311  0.01588539787428776  0.0012481281802011921  0.014905967551160052  0.000130762768655715  0.006948495407655647  0.0001839572080894757  0.0014955638591143058  6.83764085222254e-05  0.0014372441888637392  1.043857021652341e-06  6.96515632645153e-05  7.082009171043535e-06  0.00037346351883349514  0.00024644711129642976  0.028953310206421  9.405758578200912e-05  0.0015944502265762884  1113.8098776760799  
0.2615  18.63  13.863580980881837  4.3186867482467  0.2501355311348215  0.048238549934004255  0.0002646793791688753  0.014143301819986543  5.505613777899895e-05  0.11758391310380362  5.8444866891306005e-05  0.0003328610569394536  0.026199402284709124  0.000603852811293002  0.014617432135982473  0.0011484959220312118  0.013715311888235358  0.00012032869338103731  0.006394427206442715  0.00016926920020844685  0.0013761129948220002  6.336782284800617e-05  0.001322408557238093  9.559090754472158e-07  6.45467007461897e-05  6.561692680639376e-06  0.0003389934558598936  0.00022221364848641352  0.02664060209600725  8.699569233053505e-05  0.001471679095364171  1104.4030384751702  
0.269  17.16  12.75683321902981  4.042861247806291  0.18718067565253704  0.044340847540353494  0.0003625100494162008  0.013038248614256287  5.057421452291503e-05  0.10803452446902186  5.369232460499812e-05  0.0003057220058468186  0.024080171538588973  0.0005552556177624748  0.013441269481107678  0.0010560624156021284  0.012611151448163254  0.00011064787603319192  0.005880227996494161  0.00015564542051716172  0.0012699513996983732  5.827315811925911e-05  0.0012204823928447374  8.83448450258441e-07  5.9357340157713074e-05  6.034326628341505e-06  0.0003161263534558872  0.00020427770471724484  0.024497322732842795  7.99954227706446e-05  0.0013532447842507375  1095.059500267847  
0.2765  15.8  11.758166841177166  3.8045429427628674  0.07296458291784799  0.040738457003133756  0.0003951655348330837  0.011974135731436835  4.6438275272217054e-05  0.09967263741656604  4.93058180363896e-05  0.0002806572380990064  0.02166827062175586  0.0005103757969882393  0.012354308959473346  0.0009706578328798367  0.011635747011013395  0.00010170258322041449  0.005405128010273349  0.0001435063023992643  0.0011628870423755345  5.3564281633818335e-05  0.001117388674258808  8.12067314946545e-07  5.456077797042389e-05  5.5468713131980446e-06  0.0002906151145319861  0.00018774307995183542  0.02296426981533807  7.397679521183217e-05  0.0012438421350642265  1085.7892193328196  
0.284  14.54  10.844678670997444  3.5867441670243587  0.0  0.03740771718339877  0.0003950182902475713  0.010992518395289365  4.26241717341824e-05  0.09107859239411013  4.5260208590310305e-05  0.0002575747236482361  0.02032189594190809  0.0004689285644376522  0.011350823495157166  0.0008962208801412019  0.010648064957266551  9.344457797130804e-05  0.0049665026525820164  0.0001314250629516284  0.0010728232456101133  4.9215388880099017e-05  0.0010309638272259088  7.461582591993507e-07  5.013245443753514e-05  5.096824354902975e-06  0.0002670364390508616  0.00017689225033960996  0.02067281692631954  6.754592942903302e-05  0.0011428085284940818  1076.5992008891133  
0.2915  13.37  9.985714381402572  3.3567279214023555  0.0  0.0343100656441265  0.000379875478106712  0.010122913548996857  3.950862512224557e-05  0.0839457847714106  4.149922102155526e-05  0.00024039698756637585  0.01864121996354293  0.00043035902131176627  0.010460104955320253  0.0008183119588989395  0.00981446387917972  8.575700090852389e-05  0.004557987638670212  0.00012103832339054995  0.0009846681862408422  4.516963288718135e-05  0.0009462321282910905  6.848260428508315e-07  4.601110379900404e-05  4.677809526020487e-06  0.00024511208684182336  0.0001580900581392339  0.018970927280272176  6.198745560281996e-05  0.0010531128222858266  1067.4971637310089  
0.299  12.28  9.173312367451556  3.1100636468367924  0.0  0.03143881798870347  0.0003585681673197404  0.009275402933644712  3.5778073612954134e-05  0.07692030845670325  3.843631521355916e-05  0.0002160973328352361  0.017082589452414823  0.0003946018466700454  0.009592905430388833  0.0007545407662296024  0.009000251346444308  7.905623289230239e-05  0.0041793956769416215  0.00011099275919616826  0.000902951110544867  4.141876463903905e-05  0.0008719524273012014  6.279570657534585e-07  4.219017912528328e-05  4.289333976690204e-06  0.00022476351185747898  0.00014494861095800854  0.017393856723525038  5.725841453312886e-05  0.0009657855461934026  1058.4888258498704  
0.3065  11.29  8.426865638984381  2.86944023252177  0.0  0.028800929744978006  0.00033559501215048456  0.008496918235104163  3.317596091728103e-05  0.07046589872863608  3.480167296991026e-05  0.00020196823513326788  0.01565184488151188  0.0003659095517929546  0.00879567369273011  0.0006918763113148149  0.0082934518059316  7.249206407762038e-05  0.003831731701818905  0.00010217950856452805  0.0008278716314901213  3.797289728026299e-05  0.0007954248011638931  5.757052076590282e-07  3.867989901468752e-05  3.932574819595021e-06  0.0002060746151190406  0.00013698801055205678  0.015945977700039065  5.2093645431120724e-05  0.0008855452995676857  1049.580058078844  
