# Density profiles from [arXiv.2104.14367]
r_vec	          rho_tot       	12C  v_esc
4.476480e-01	4.301345e-01	4.301345e-01  5122.238411716587
4.491655e-01	4.276074e-01	4.276074e-01  5118.040335452861
4.506829e-01	4.250875e-01	4.250875e-01  5113.843570091519
4.522004e-01	4.225750e-01	4.225750e-01  5109.640075372954
4.537178e-01	4.200700e-01	4.200700e-01  5105.432573852175
4.552353e-01	4.175724e-01	4.175724e-01  5101.222415537416
4.567527e-01	4.150824e-01	4.150824e-01  5097.006499510436
4.582702e-01	4.126001e-01	4.126001e-01  5092.783359246285
4.597876e-01	4.101256e-01	4.101256e-01  5088.564253903329
4.613051e-01	4.076589e-01	4.076589e-01  5084.336602670477
4.628225e-01	4.052001e-01	4.052001e-01  5080.107227827169
4.643400e-01	4.027492e-01	4.027492e-01  5075.872347114592
4.658574e-01	4.003065e-01	4.003065e-01  5071.637937269258
4.673749e-01	3.978719e-01	3.978719e-01  5067.39478059671
4.688923e-01	3.954455e-01	3.954455e-01  5063.149638072828
4.704098e-01	3.930275e-01	3.930275e-01  5058.903200338944
4.719272e-01	3.906178e-01	3.906178e-01  5054.652318249279
4.734447e-01	3.882166e-01	3.882166e-01  5050.398014297948
4.749621e-01	3.858240e-01	3.858240e-01  5046.142014576429
4.764796e-01	3.834400e-01	3.834400e-01  5041.881317411883
4.779970e-01	3.810647e-01	3.810647e-01  5037.618279183354
4.795145e-01	3.786982e-01	3.786982e-01  5033.352964399622
4.810319e-01	3.763404e-01	3.763404e-01  5029.08857655992
4.825494e-01	3.739913e-01	3.739913e-01  5024.812516727869
4.840668e-01	3.716508e-01	3.716508e-01  5020.5380083827595
4.855843e-01	3.693191e-01	3.693191e-01  5016.264658634302
4.871017e-01	3.669959e-01	3.669959e-01  5011.982025479123
4.886192e-01	3.646814e-01	3.646814e-01  5007.7002016799315
4.901366e-01	3.623755e-01	3.623755e-01  5003.415079871525
4.916541e-01	3.600782e-01	3.600782e-01  4999.130873943692
4.931715e-01	3.577895e-01	3.577895e-01  4994.839577337113
4.946890e-01	3.555093e-01	3.555093e-01  4990.547855534615
4.962064e-01	3.532376e-01	3.532376e-01  4986.254053600755
4.977239e-01	3.509745e-01	3.509745e-01  4981.95823174163
4.992413e-01	3.487198e-01	3.487198e-01  4977.659655830615
5.007588e-01	3.464736e-01	3.464736e-01  4973.36083955422
5.022762e-01	3.442358e-01	3.442358e-01  4969.060672597066
5.037937e-01	3.420065e-01	3.420065e-01  4964.7560585330375
5.053111e-01	3.397855e-01	3.397855e-01  4960.450420730716
5.068286e-01	3.375730e-01	3.375730e-01  4956.143257860704
5.083460e-01	3.353688e-01	3.353688e-01  4951.833402613342
5.098635e-01	3.331730e-01	3.331730e-01  4947.52388316229
5.113809e-01	3.309855e-01	3.309855e-01  4943.212379756793
5.128984e-01	3.288063e-01	3.288063e-01  4938.898814185342
5.144158e-01	3.266354e-01	3.266354e-01  4934.584430656824
5.159333e-01	3.244727e-01	3.244727e-01  4930.267189695308
5.174507e-01	3.223183e-01	3.223183e-01  4925.949431893975
5.189682e-01	3.201721e-01	3.201721e-01  4921.630171481007
5.204856e-01	3.180342e-01	3.180342e-01  4917.310445331552
5.220031e-01	3.159044e-01	3.159044e-01  4912.988021097998
5.235205e-01	3.137828e-01	3.137828e-01  4908.665462244085
5.250380e-01	3.116693e-01	3.116693e-01  4904.342619016276
5.265554e-01	3.095640e-01	3.095640e-01  4900.017811645784
5.280729e-01	3.074668e-01	3.074668e-01  4895.693797546317
5.295903e-01	3.053777e-01	3.053777e-01  4891.367326011091
5.311078e-01	3.032966e-01	3.032966e-01  4887.040578226033
5.326252e-01	3.012236e-01	3.012236e-01  4882.712497066758
5.341427e-01	2.991586e-01	2.991586e-01  4878.3836611422585
5.356602e-01	2.971016e-01	2.971016e-01  4874.055348444539
5.371776e-01	2.950527e-01	2.950527e-01  4869.7247209621155
5.386951e-01	2.930116e-01	2.930116e-01  4865.394869466827
5.402125e-01	2.909786e-01	2.909786e-01  4861.065392508093
5.417300e-01	2.889534e-01	2.889534e-01  4856.734022607096
5.432474e-01	2.869362e-01	2.869362e-01  4852.401886522718
5.447649e-01	2.849269e-01	2.849269e-01  4848.073305417196
5.462823e-01	2.829254e-01	2.829254e-01  4843.738019832744
5.477998e-01	2.809318e-01	2.809318e-01  4839.407216714614
5.493172e-01	2.789460e-01	2.789460e-01  4835.075080518759
5.508347e-01	2.769681e-01	2.769681e-01  4830.743023800807
5.523521e-01	2.749979e-01	2.749979e-01  4826.411114439093
5.538696e-01	2.730355e-01	2.730355e-01  4822.079207237284
5.553870e-01	2.710808e-01	2.710808e-01  4817.74629027426
5.569045e-01	2.691339e-01	2.691339e-01  4813.41524906948
5.584219e-01	2.671947e-01	2.671947e-01  4809.083189474431
5.599394e-01	2.652632e-01	2.652632e-01  4804.750388785471
5.614568e-01	2.633393e-01	2.633393e-01  4800.420581982463
5.629743e-01	2.614231e-01	2.614231e-01  4796.089628319212
5.644917e-01	2.595145e-01	2.595145e-01  4791.763210897375
5.660092e-01	2.576136e-01	2.576136e-01  4787.4309884644335
5.675266e-01	2.557202e-01	2.557202e-01  4783.101040339935
5.690441e-01	2.538344e-01	2.538344e-01  4778.773771905176
5.705615e-01	2.519562e-01	2.519562e-01  4774.444962097925
5.720790e-01	2.500855e-01	2.500855e-01  4770.118698301039
5.735964e-01	2.482223e-01	2.482223e-01  4765.791333708857
5.751139e-01	2.463666e-01	2.463666e-01  4761.465080826376
5.766313e-01	2.445184e-01	2.445184e-01  4757.140432150645
5.781488e-01	2.426776e-01	2.426776e-01  4752.821531610415
5.796662e-01	2.408443e-01	2.408443e-01  4748.493686292402
5.811837e-01	2.390185e-01	2.390185e-01  4744.172313123099
5.827011e-01	2.372001e-01	2.372001e-01  4739.851072025466
5.842186e-01	2.353892e-01	2.353892e-01  4735.530826369261
5.857360e-01	2.335857e-01	2.335857e-01  4731.212545752909
5.872535e-01	2.317896e-01	2.317896e-01  4726.894628050824
5.887709e-01	2.300010e-01	2.300010e-01  4722.579865106721
5.902884e-01	2.282199e-01	2.282199e-01  4718.264644292497
5.918058e-01	2.264461e-01	2.264461e-01  4713.950872422206
5.933233e-01	2.246799e-01	2.246799e-01  4709.638865153705
5.948407e-01	2.229210e-01	2.229210e-01  4705.326405723738
5.963582e-01	2.211696e-01	2.211696e-01  4701.020380896241
5.978756e-01	2.194256e-01	2.194256e-01  4696.712947821616
5.993931e-01	2.176891e-01	2.176891e-01  4692.404759583475
6.009105e-01	2.159599e-01	2.159599e-01  4688.10219224294
6.024280e-01	2.142382e-01	2.142382e-01  4683.8010563660055
6.039454e-01	2.125240e-01	2.125240e-01  4679.501489125696
6.054629e-01	2.108171e-01	2.108171e-01  4675.200865727952
6.069803e-01	2.091177e-01	2.091177e-01  4670.904789056488
6.084978e-01	2.074256e-01	2.074256e-01  4666.607984059577
6.100152e-01	2.057410e-01	2.057410e-01  4662.316226662256
6.115327e-01	2.040638e-01	2.040638e-01  4658.013525390406
6.130501e-01	2.023940e-01	2.023940e-01  4653.73607623845
6.145676e-01	2.007316e-01	2.007316e-01  4649.448106044
6.160850e-01	1.990767e-01	1.990767e-01  4645.165832200779
6.176025e-01	1.974291e-01	1.974291e-01  4640.8827827696805
6.191199e-01	1.957889e-01	1.957889e-01  4636.603083600965
6.206374e-01	1.941561e-01	1.941561e-01  4632.324445027855
6.221548e-01	1.925308e-01	1.925308e-01  4628.049152861556
6.236723e-01	1.909128e-01	1.909128e-01  4623.776071500851
6.251897e-01	1.893022e-01	1.893022e-01  4619.505472139644
6.267072e-01	1.876990e-01	1.876990e-01  4615.237026804755
6.282246e-01	1.861032e-01	1.861032e-01  4610.971826995803
6.297421e-01	1.845147e-01	1.845147e-01  4606.708712870277
6.312595e-01	1.829337e-01	1.829337e-01  4602.448451219425
6.327770e-01	1.813600e-01	1.813600e-01  4598.1911966333455
6.342944e-01	1.797937e-01	1.797937e-01  4593.935702316513
6.358119e-01	1.782348e-01	1.782348e-01  4589.682688907074
6.373293e-01	1.766833e-01	1.766833e-01  4585.435107750919
6.388468e-01	1.751391e-01	1.751391e-01  4581.186978209294
6.403642e-01	1.736023e-01	1.736023e-01  4576.944068258233
6.418817e-01	1.720729e-01	1.720729e-01  4572.702551910295
6.433991e-01	1.705508e-01	1.705508e-01  4568.4652191547475
6.449166e-01	1.690361e-01	1.690361e-01  4564.232231998826
6.464340e-01	1.675288e-01	1.675288e-01  4559.999452510717
6.479515e-01	1.660288e-01	1.660288e-01  4555.768063997057
6.494689e-01	1.645362e-01	1.645362e-01  4551.545953483821
6.509864e-01	1.630509e-01	1.630509e-01  4547.32391261201
6.525038e-01	1.615730e-01	1.615730e-01  4543.105498752442
